Habitat	Species	LA	SLA	LDMC
Generalist_G	Sebastiania_commersoniana	4.968914	92.94913592	439.1491868
Forest	Siphoneugena_reitzii	1.120495025	84.13440105	465.1086817
Forest	Sorocea_bonplandii	24.03493333	120.937714	426.30853
Generalist_F	Strychnos_brasiliensis	6.895333333	175.5069688	363.5049191
Generalist_G	Strychnos_brasiliensis	5.439566667	77.94736321	448.3030707
Generalist_F	Styrax_leprosus	10.61979067	85.51856537	452.7346681
Generalist_G	Styrax_leprosus	8.257325	73.87874782	460.7011806
Generalist_F	Symplocos_uniflora	11.885108	75.47209262	363.7457506
Generalist_G	Symplocos_uniflora	11.26076296	63.33282695	372.707352
Grassland	Tabernaemontana_catharinensis	18.28824667	143.2757815	314.6830813
Generalist_F	Tibouchina_sellowiana	11.33096889	147.8949715	337.22623
Generalist_G	Tibouchina_sellowiana	6.009683333	94.11630267	425.6804655
Forest	Trichilia_claussenii	19.96465167	118.315725	464.0879879
Grassland	Vachellia_caven	0.011857971	177.2379065	505.5301389
Generalist_F	Vernonanthura_discolor	34.32993939	100.5223322	346.6723693
Generalist_G	Vernonanthura_discolor	35.79835273	80.12898261	419.8054613
Forest	Vitex_megapotamica	12.31080915	146.8519988	394.2127301
Generalist_F	Xylosma_schroederi	7.226603333	77.99091114	456.2729587
Generalist_G	Xylosma_schroederi	6.831993333	69.22548747	430.2977118
Grassland	Xylosma_tweediana	6.584876667	59.95298829	471.0326776
Forest	Zanthoxylum_astrigerum	8.645520833	79.83054387	418.039471
Generalist_F	Zanthoxylum_fagara	1.527583	108.1860802	309.218899
Generalist_G	Zanthoxylum_fagara	1.707948611	100.4083617	349.6587557
